20x8000414L 20x80001b0L
40x8000339L 40x8000340L
50x8000186L 50x8000000L
50x800035aL 50x80001c0L
230x8000329L 230x8000330L
320x8000916L 320x8000000L
320x8000999L 320x8000000L
320x8001c44L 320x8000000L
340x80009c6L 340x8000060L
340x8000e88L 340x8000060L
340x8001276L 340x8000060L
340x8001a38L 340x8000060L
340x8001c06L 340x8000060L
340x8001ccdL 340x8000060L
340x8001d58L 340x8000060L
340x80018aeL 340x8000200L
340x8001bf2L 340x8000200L
340x8001d0eL 340x8000200L
340x80006acL 340x80002d0L
340x8000daaL 340x80002d0L
340x8001ba7L 340x80002d0L
340x8001c30L 340x80002d0L
340x8001b7bL 340x8000600L
340x8001fb4L 340x8000600L
340x800202bL 340x8000600L
370x80019c2L 370x8000000L
450x80007ccL 450x8000410L
450x8000b84L 450x80007a0L
450x8000df5L 450x80007a0L
510x8000101L 510x8000110L
550x8000248L 550x8000000L
560x8000883L 560x8000060L
560x800094dL 560x8000060L
560x80009c0L 560x8000060L
560x8000acdL 560x8000060L
560x8000b3fL 560x8000060L
560x8000d17L 560x8000060L
560x8000d63L 560x8000060L
560x8000e5fL 560x8000060L
560x8000fceL 560x8000060L
560x800105cL 560x8000060L
560x80010feL 560x8000060L
560x8000d91L 560x80008c0L
640x800046cL 640x8000000L
640x80004a9L 640x8000000L
640x80005a6L 640x8000000L
650x80002edL 650x80002f0L
780x80004b1L 780x8000000L
780x800085aL 780x8000000L
780x800089aL 780x8000000L
780x80008c9L 780x8000000L
780x80008feL 780x8000000L
780x8000a74L 780x8000000L
780x8000ac5L 780x8000000L
780x8000c41L 780x8000000L
780x8000c8fL 780x8000000L
780x8000e41L 780x8000000L
780x8000e95L 780x8000000L
780x8001058L 780x8000000L
780x80010b2L 780x8000000L
780x800125bL 780x8000000L
780x80012acL 780x8000000L
780x800143aL 780x8000000L
780x8001489L 780x8000000L
780x8001604L 780x8000000L
780x8001652L 780x8000000L
780x8000b99L 780x8000ba0L
780x8000f59L 780x8000f60L
780x8001189L 780x8001190L
790x80004fbL 790x8000000L
790x8000573L 790x8000000L
790x80005ebL 790x8000000L
790x8000663L 790x8000000L
790x8000708L 790x8000000L
790x80007a8L 790x8000000L
790x80007b1L 790x8000000L
790x80007ccL 790x8000000L
790x80007e9L 790x8000000L
790x8000808L 790x8000000L
790x8000827L 790x8000000L
790x800084cL 790x8000000L
790x80001a1L 790x80001b0L
820x8000321L 820x8000330L
830x80002c5L 830x8000020L
830x8000209L 830x8000210L
910x8000160L 910x8000000L
910x8000180L 910x8000000L
910x8000149L 910x8000150L
920x8000493L 920x8000270L
920x8000411L 920x8000420L
940x80013f1L 940x8000070L
940x80014bdL 940x8000070L
940x8001530L 940x8000070L
940x800163dL 940x8000070L
940x80016afL 940x8000070L
940x8001833L 940x8000070L
940x8001927L 940x8000070L
940x8001ad5L 940x8000070L
940x8001b74L 940x8000070L
940x8001c3eL 940x8000070L
940x8001808L 940x8001330L
940x800185aL 940x8001430L
950x8000051L 950x8000060L
950x80000b1L 950x80000c0L
950x8002bd3L 950x8000150L
950x8002d1dL 950x8000150L
950x8002d90L 950x8000150L
950x8002e9dL 950x8000150L
950x8002f0fL 950x8000150L
950x80030f3L 950x8000150L
950x800324bL 950x8000150L
950x800335fL 950x8000150L
950x8003505L 950x8000150L
950x80035c4L 950x8000150L
950x800368eL 950x8000150L
950x800380fL 950x8000150L
950x80039b5L 950x8000150L
950x8003a6cL 950x8000150L
950x8003b36L 950x8000150L
950x8002bedL 950x8002b20L
950x8002c4dL 950x8002b20L
950x8003085L 950x8002b20L
950x80031e5L 950x8002b20L
950x8003121L 950x8002c90L
950x8003279L 950x8002c90L
960x800d2aeL 960x8000240L
960x800d474L 960x8000240L
960x800d4e8L 960x8000240L
960x800d600L 960x8000240L
960x800d677L 960x8000240L
960x800d903L 960x8000240L
960x800dadbL 960x8000240L
960x800dc62L 960x8000240L
960x800df8dL 960x8000240L
960x800e090L 960x8000240L
960x800e228L 960x8000240L
960x800e45aL 960x8000240L
960x800e773L 960x8000240L
960x800e85dL 960x8000240L
960x800e9c4L 960x8000240L
960x800d2cdL 960x800d120L
960x800d36dL 960x800d120L
960x800d849L 960x800d120L
960x800da49L 960x800d120L
960x800d931L 960x800d3e0L
960x800db09L 960x800d3e0L
990x80007abL 990x8000000L
990x8000852L 990x8000000L
990x80024fcL 990x8000000L
1080x8000529L 1080x8000050L
1080x8000685L 1080x8000050L
1080x80006acL 1080x8000050L
1150x800019fL 1150x8000000L
1150x8000171L 1150x8000180L
1200x8000029L 1200x8000030L
1200x8000059L 1200x8000060L
1200x80000b9L 1200x80000c0L
1200x80000e9L 1200x80000f0L
1200x8000119L 1200x8000120L
1200x800014bL 1200x8000150L
